b (mm),,theta (degree),,a (mm),,alpha (degree) 
1596,,153.3384,,389.9965,,-90
0,,-106.5951,,1219.9995,,-180
0,,-37.0211,,1300,,180
0,,-6.6452,,255,,90
-172,,-58.9576,,0,,180
