b (mm),,theta (degree),,a (mm),,alpha (degree) 
475,,-124.9482,,170,,-90
0,,-24.1595,,600,,0
0,,-86.755,,120,,90
-720,,122.3737,,0,,90
0,,-60.3542,,0,,90
85,,-16.017,,0,,0
 ,,,,,,
