b (mm),,theta (degree),,a (mm),,alpha (degree) 
450,,76.0828,,150,,-90
0,,-77.6142,,600,,0
0,,-30.5785,,200,,90
-640,,-67.4545,,0,,90
0,,19.9003,,0,,90
100,,73.3948,,0,,0
 ,,,,,,
