b (mm),,theta (degree),,a (mm),,alpha (degree) 
670,,99.3691,,312,,90
0,,132.5528,,1074.9998,,-180
0,,-140.3968,,225,,90
-1280,,-143.6492,,0,,90
0,,145.4897,,0,,90
-215,,159.9869,,0,,180
 ,,,,,,
