b (mm),,theta (degree),,a (mm),,alpha (degree) 
320,,53.8424,,100,,-90
0,,-42.7326,,250,,0
0,,82.0532,,0,,90
250,,-166.0966,,0,,90
0,,17.5692,,0,,90
-65,,-21.5667,,0,,180
 ,,,,,,
