b (mm),,theta (degree),,a (mm),,alpha (degree) 
780,,154.0317,,320,,-90
0,,-29.5227,,1280,,0
0,,-117.9692,,200,,90
-1592,,113.1245,,0,,90
0,,53.3978,,0,,90
200,,12.7326,,0,,0
