b (mm),,theta (degree),,a (mm),,alpha (degree) 
680,,120.0935,,320,,90
0,,167.5093,,975,,0
0,,-0.4693,,200,,-90
-887,,102.9428,,0,,90
0,,-151.6546,,0,,90
-200,,-27.9379,,0,,-180
 ,,,,,,
