b (mm),,theta (degree),,a (mm),,alpha (degree) 
290,,180,,0,,90
0,,49.4989,,270,,0
0,,40.5011,,70,,90
-302,,180,,0,,90
0,,-180,,0,,90
-72,,-135,,0,,-180
